uid,NumberOfFollowers,NumberOfFollowing,NumberOfTweets,Label,Screen Name,Name
1179541274,10,22,38,Legitimate User,AvvNadiaMartini,Nadia Martini
951290342,22,106,70,Legitimate User,vivipalma84,Viviana Palmieri
951523590,83,425,377,Legitimate User,abrino,Andrea Abrino
952055166,23,57,392,Legitimate User,psaldari,Paolo Saldari
953315216,77,306,986,Legitimate User,toshtosh72,david tranquilli
1187572176,13,68,191,Legitimate User,heiea,Spezzino tipo
1188730825,8,21,9,Legitimate User,CantadoriGiulio,Giulio's Style 
955497098,11,24,343,Legitimate User,miriamlafiandra,miriam lafiandra
1189056510,17,92,15,Legitimate User,giorgiofab,Giorgio Fabbri
955806343,179,284,294,Legitimate User,DurigonClaudio,Claudio Durigon
1193292998,10,50,34,Legitimate User,Psipsina87,federica mazzocchini
958530558,189,164,1102,Legitimate User,AugustoTrifulmi,Augusto Trifulmine
961125284,37,135,96,Legitimate User,Chiaracst,Chiara Castelli
962847698,10,63,242,Legitimate User,micia1981,fefu 
1204191037,57,53,293,Legitimate User,ml_vassallo,Maria Laura Vassallo
1204535834,18,40,244,Legitimate User,annalisacast,Annalisa Castellanet
964996225,394,498,2312,Legitimate User,MrsD_MrsD,MrsD
1205795042,474,446,3439,Legitimate User,PersanellaRete,Tiz.
1205923694,129,335,392,Legitimate User,awlky,anna valcavi
968446106,25,91,208,Legitimate User,Roundmoro,Alberto Moro
970505658,32,55,44,Legitimate User,Selene_IM,Selene Impagliatelli
971576125,120,100,509,Legitimate User,AntoniniMauro,Mauro Antonini
1216631100,16,124,10,Legitimate User,ErikaOliveti,ErikaFabianaOliveti
1219155151,19,50,14,Legitimate User,LorenzoPisoni1,Lorenzo Pisoni
1219247983,8,42,10,Legitimate User,Don_Sangy,Giovanni Sangiuliano
1219743308,16,75,79,Legitimate User,kozmic_dancer,Chiara Di Luca
974171288,83,249,685,Legitimate User,Elli_SPNmydrug,Adrielly Barros 
974190704,68,122,603,Legitimate User,FrancoCastelve,Franco Castelvedere
974558708,28,208,324,Legitimate User,la__lisa,la lisa
976068038,50,76,259,Legitimate User,RosPit74,Rosario Pitanza
976844444,1061,1653,591,Legitimate User,Peerks,#healthy
977265403,274,253,109,Legitimate User,WebCong,WebCong
981556177,8,91,53,Legitimate User,giacomodipaco,giacomo
15350901,625,580,4728,Legitimate User,oddlygeek,Stefano Castelvetri
407818010,963,561,1585,Legitimate User,CarolaLatini,Carola 
422226730,1245,1242,25661,Legitimate User,sara_rigby,Sara D.
425138781,1289,885,6514,Legitimate User,_Cuchulainn,L'uomo senza qualitÃ 
120720544,6403,5835,15795,Legitimate User,Anyanka_Jenkins,Stellinatrice Folle
187536784,5109,63,12826,Legitimate User,pataepisi,Guybrush S. McFly
197602470,258,342,1365,Legitimate User,ampaweb,Paolo Ammendola
207070244,1382,1006,49836,Legitimate User,ItsFearless,Indigo girl
216522413,4573,831,19172,Legitimate User,imbekiller,Donna in corriera 
259680844,46,107,194,Legitimate User,Silvia_ross,Silvia_ross
301919327,308,310,5385,Legitimate User,Rollerstop,Katharina Scichilone
517625408,105,48,138,Legitimate User,PerfectDay__,Sara Giulianelli
327900613,111437,4071,8910,Legitimate User,TheBoss_Bear,THE BOSS 2.0
522582939,2800,2406,78338,Legitimate User,ViolaXenia,SoloViolaepunto     
541037205,61,78,428,Legitimate User,sysack,Giuseppe Arrigo
549083012,354,279,1166,Legitimate User,pH_positivo,Sergio Pedri
558489220,2404,305,17986,Legitimate User,missbuzzi,MissBuzzi
563022345,1533,996,18600,Legitimate User,LaCriF,La Crisi M'Istiga
604758810,53,77,1135,Legitimate User,izanolla,Ivan Zanolla
835342567,3951,4120,473,Legitimate User,Il_Meglio_di_Te,Retweet
1092912044,212,242,532,Legitimate User,EnneatipoGiulia,ZeroShadesOfMe
1126202310,27,51,140,Legitimate User,giomasce,Giovanni Mascellani
9011502,842,38,2423,Legitimate User,flaviocopes,Flavio Copes
52491055,415,382,12197,Legitimate User,Eleonola,Eleonora âˆž 
55532545,521,487,4375,Legitimate User,fabior11,Fabio
16043064,202,133,36911,Legitimate User,baliasciutta,perasperAdastra
20308222,232,182,3329,Legitimate User,suranie,Stephanie
33747826,11,16,70,Legitimate User,MatteoStagni,Matteo Stagni
45314390,61,173,1901,Legitimate User,rem81,Maria Sole Bosaia
48665791,373,874,14835,Legitimate User,xopenatheclose,p h y l l i s.
52108988,314,148,10954,Legitimate User,denBallerina,Ɗenise Catto
56697655,76,156,2146,Legitimate User,Byoosah,Kathleen.
83811813,280,536,4166,Legitimate User,michelgelly,Michel Gelly
91866745,1057,280,27096,Legitimate User,socjopathic,.
111628975,121,256,4625,Legitimate User,fcomeza,francisco meza
114849265,362,233,10043,Legitimate User,GiulsLouder,Stray Mind «
154588620,715,792,22534,Legitimate User,she_died,eyes like catwoman
162092995,47,123,951,Legitimate User,MaryCanDoBetter,Mariella Cinquina
168791182,183,132,3847,Legitimate User,cesafuc,Erica Evans
177299735,495,413,22257,Legitimate User,RomyNSN96,awksome
179588209,16,67,115,Legitimate User,_CloudsInTheSky,Kisa
190383002,310,341,1291,Legitimate User,davidpjbufton,David Bufton
197400952,21,50,266,Legitimate User,themafi93,PensieriDiUnaGiulia
217533156,344,428,1502,Legitimate User,SortOfItalian,Giulia
222579656,154,198,7654,Legitimate User,NovafromMARS,Vi·o.lent Urge.
233959454,445,618,3074,Legitimate User,mimassale,Loli Lopesino
248292381,6,30,23,Legitimate User,miriammoretti91,Miriam Moretti
252688673,170,256,5285,Legitimate User,velvetpoison,three cheers for mcr
255559955,280,149,309,Legitimate User,dariopiombino,Dario Piombino
278618602,165,175,2481,Legitimate User,maarrgghh,Margherita Fontanesi
295578583,174,69,1346,Legitimate User,titotopo,Stefano Dominici
297012777,105,42,3190,Legitimate User,giulskii,abcdefgiulia
305187907,130,154,4042,Legitimate User,itsKin_,Milky Way
318949971,54,72,392,Legitimate User,StefiHotelinfo,Stefi
320669433,295,49,18611,Legitimate User,egoselfish_,vambery ∞
322051701,40,202,367,Legitimate User,francescaalbano,francesca albano
327840186,70,92,457,Legitimate User,Bucaniere01,Lorenzo Ferrucci
328706026,473,373,8613,Legitimate User,mateosfr,Mateo S. Franco
333960904,107,258,2740,Legitimate User,fedeskier,Federico Quaglino
337321477,293,1527,42,Legitimate User,colledellara,Colle dell'ara
372460791,2194,1558,42290,Legitimate User,reinman_mt,Reinman_MT
382247829,90,135,849,Legitimate User,TatePignatale,Valentina Pignatale
418633045,82,174,299,Legitimate User,M_DeGiuli,Matteo De Giuli
425241854,17,36,114,Legitimate User,LucaPedrotta,Luca Pedrotta
453285193,153,221,5035,Legitimate User,calu1195,Luca Basso
469128515,51,38,664,Legitimate User,arnieturn11,Arnie Turner
490480487,371,300,865,Legitimate User,GiuliettaBi,Giulia B.
514338061,42,40,524,Legitimate User,thisismynothing,Marco Chiacchiaretta
521131145,57,83,492,Legitimate User,EleonoraCherchi,Eleonora.
529342153,13,23,160,Legitimate User,Beautifuleg,Mauro Bellagamba
546314660,1206,1650,4681,Legitimate User,Shadeslayer4E,abbey destroya -11
604518391,15,44,25,Legitimate User,andreamon90,Andrea Monica
630544784,973,530,27327,Legitimate User,BucciSandra,SandraBù
755461062,18,18,42,Legitimate User,Personauser_,Ygor
755745950,94,107,1487,Legitimate User,ChasingR,Chasing Rainbows
806660965,95,200,285,Legitimate User,fotoforfake,Foto For Fake 
809654154,24,63,34,Legitimate User,BredaClaudia,Claudia Breda
810793700,1361,142,9139,Legitimate User,zitacida,PoshSpice
903721722,37,66,69,Legitimate User,thony_39,Thony
922305175,2,20,423,Legitimate User,FrancescaLosant,Francesca Losanto
925532102,4,20,597,Legitimate User,MariannaDeCaro_,Marianna De Caro
929410398,21,19,59,Legitimate User,pitanania,Pietro Anania
961773920,6,11,17,Legitimate User,AristoCasta,AristoCasta
1021876490,47,43,62,Legitimate User,vero22ingl,veronica inglese
1096419414,4,0,10,Legitimate User,ilrugnonelpugno,Il Rugno nel Pugno
1125217129,33,197,323,Legitimate User,StefanoJermini,stefano jermini
1127280169,208,124,49,Legitimate User,frilaif,Frilaif Official
1156344000,22,55,66,Legitimate User,Stronzetta__,♔♥HeartsQueen♥♔
1169114810,0,4,4,Legitimate User,angelagervasi2,angelagervasi
1212975186,2,4,3,Legitimate User,Movie1O,Midnight
1213937306,351,341,2568,Legitimate User,xjawaadscookie,ʸᵒᵘ
24503,5055,1466,4340,Legitimate User,Bonanzinga,Roberto Bonanzinga
22903,132,194,164,Legitimate User,effeffe,effeffe
382393,1154,832,1070,Legitimate User,ciro,Ciro Cattuto
286543,930,535,6892,Legitimate User,abragad,Alessio Bragadini
438023,173,444,2885,Legitimate User,fullcaffeine,fullcaffeine
586003,97,234,216,Legitimate User,myself2048,Maurizio Tesconi
628563,154,314,505,Legitimate User,MaxMoretti,Massimo Moretti
769985,1100,975,1897,Legitimate User,pasquale,Pasquale Popolizio
2007021,2254,2196,3052,Legitimate User,robertociacci,Roberto Ciacci
2731681,31,55,313,Legitimate User,Surfcanarias,Francesco
3909541,637,1853,2737,Legitimate User,Vinciiii,Vincenzo
5863152,2842,1903,3951,Legitimate User,Kawakumi,Davide Basile
6082972,1335,727,3387,Legitimate User,boskizzi,Max Boschini
6175692,13,67,60,Legitimate User,andreazanel,Andrea
6196392,101,108,1163,Legitimate User,cabajo,Claudio
6618042,34,182,177,Legitimate User,motoplux,motoplux
6677972,335,1956,2201,Legitimate User,danilolazzarato,danilo lazzarato
7246122,364,373,1791,Legitimate User,psicocaccola,Federica
7527052,68,76,3702,Legitimate User,marcelloseri,marcelloseri
7773732,3566,803,9623,Legitimate User,gba_mm,Gio. Boccia Artieri
8029522,337,405,2745,Legitimate User,ale_prioni,Alessandro Prioni
9664862,89,126,227,Legitimate User,gmeazza,Gianpiero Meazza
12179872,4560,4307,19122,Legitimate User,Tecnoetica,Davide Bennato
12551742,3300,311,7734,Legitimate User,alberto_cottica,Alberto Cottica
12700622,138,263,1461,Legitimate User,GasKB,GasKB
12765892,15,56,32,Legitimate User,ale55io,Alessio
14321616,463,528,1689,Legitimate User,napoli081,Luigi Greco
14443340,1476,1069,20366,Legitimate User,giuliano_abate,Giuliano Abate
14561441,100,186,894,Legitimate User,filippodelprete,Filippo Del Prete
15455450,78,203,28,Legitimate User,raffaele_perego,raffaele_perego
15453624,111,160,425,Legitimate User,this_is_jp,JP
15622858,34,112,442,Legitimate User,FabioRomeo71,Fabio Romeo
15788159,349,823,8618,Legitimate User,jakopo,Jacopo Galati
15922136,626,676,42218,Legitimate User,impbianco,Francesco Roghi
16002194,1405,197,1836,Legitimate User,mauromunafo,Mauro Munafò
16183526,139,401,588,Legitimate User,andrewfoxx,And®ea
16270293,86,152,357,Legitimate User,aleceschi,Alessandro Ceschi
16303802,62,396,422,Legitimate User,anasfkhan,anas fahad khan
16649518,43,110,84,Legitimate User,ppolini,Pietro Polini
17085112,152,68,4528,Legitimate User,iz1crr,iz1crr
17283453,481,249,2185,Legitimate User,luca_devito,Luca De Vito
17421795,128,138,3063,Legitimate User,illshowyouhowto,alessio giordano
17426567,350,1000,1513,Legitimate User,radiojam11,Valerio Tognozzi
17844234,106,416,4883,Legitimate User,frap1412,Francesco Pinna
17992531,60,66,175,Legitimate User,lorenzo_marcon,Lorenzo M
18721974,203,664,2131,Legitimate User,dinoserpe,Dino Serpe
18874774,70,72,5352,Legitimate User,Gicos,Giuseppe Cosentino
19706832,735,461,1813,Legitimate User,karmanet,Arianna Bassoli
19701419,482,555,3941,Legitimate User,paolaponticelli,Paola Ponticelli
19973780,92,111,1430,Legitimate User,tondav,davide tonini
20303000,176,383,1526,Legitimate User,IamFrancesco,Francesco Benedetto
20542869,76,315,563,Legitimate User,cugycappa,Cugy Cappa
20681942,561,892,2488,Legitimate User,rodolfodue,Rodolfo Due'
21133252,90,396,116,Legitimate User,chibold,Chiara Boldrini
22015162,132,313,2885,Legitimate User,PiperitaPatti75,Patrizia Fusi
22521283,4371,1182,22346,Legitimate User,Raquel75,Rachele Zinzocchi
22598920,26237,23813,11933,Legitimate User,skande,Riccardo Scandellari
22596491,53,120,210,Legitimate User,FabiusAita,Fabio Aita
22624920,1699,1771,47177,Legitimate User,giuliacarino,giuliettarock
22710614,0,2,14,Legitimate User,angelo37,angelo milani
22752192,18,97,177,Legitimate User,rebo1,federico cornale
22970058,2097,2039,37936,Legitimate User,mrbyte72,mrbyte
23770754,26,35,10,Legitimate User,ffalchi,Fabrizio Falchi
24176877,1538,1059,4551,Legitimate User,ErikaDeBortoli,Erika De Bortoli
25046383,168,205,700,Legitimate User,mufulone,Vittorio Caposiena
25484842,301,837,1158,Legitimate User,davideradice,Davide Radice
26261259,24,60,187,Legitimate User,elisaluc,elisa lucattini
27315878,410,1324,1517,Legitimate User,antorug,antonio ruggiero
29742445,331,570,2083,Legitimate User,gonzoandrea,Andrea Zanchetta
31135311,53,136,177,Legitimate User,leonardocandela,Leonardo Candela
31379656,45,200,2035,Legitimate User,ilcumo,Alessandro Cumin
33516491,68,264,1018,Legitimate User,arcadia1977,Vania Negrato
33679344,87,282,2979,Legitimate User,massimox_it,MASSIMOX
34580222,103,203,2206,Legitimate User,carlomarzetti,Carlo Marzetti
36286962,893,256,2402,Legitimate User,olivieropdp,olivieropdp
37186955,50,87,554,Legitimate User,stevendan,Steven  Fitzgerald
37204587,127,192,2848,Legitimate User,larry_cross,Lorenzo
39201963,507,562,8995,Legitimate User,cielomiomarito,Antonella
40337017,627,1036,1104,Legitimate User,telefoniaFacile,Massimo Marucci
43775439,212,152,9096,Legitimate User,pieRVK,PierfrancesoSteinþór
44358439,15,36,373,Legitimate User,AngeloMicello,Simone Micello
44604091,126,102,783,Legitimate User,dariodusio,Dario Dusio
45110939,66,249,56,Legitimate User,eddybolzani,Eddy Bolzani
45399578,26,281,104,Legitimate User,patrizia78,pg
45562154,45,94,216,Legitimate User,marcomarletta,Marco Marletta
45603460,11,23,17,Legitimate User,cianober,Luciano Berlanda
47588692,1510,1058,24602,Legitimate User,martinrance,Martin Rance
47610275,36,115,101,Legitimate User,lorenzobini,Lorenzo Bini
47708690,197,859,711,Legitimate User,k_apo,Francesco Apollonio
49683347,2,4,5,Legitimate User,stortino,Renzo Storti
49726434,150,231,136,Legitimate User,ciairina,Federico Crespi
49951518,67,159,638,Legitimate User,pietrodusi,Pietro Dusi
49961511,20,76,136,Legitimate User,Dark4nge1,Gray
50594775,90,338,133,Legitimate User,gastainer,Marco Gastaldo
50606585,442,523,14527,Legitimate User,R_Reventlov_G,Reventlov
50650272,95,133,270,Legitimate User,saboto,carlo bassoli
51065893,75,281,1308,Legitimate User,AndreaSvizzero,AndreaLoSvizzero
51169895,675,373,3994,Legitimate User,gianlucaSB,Gianluca Stringhini
51484684,143,371,2074,Legitimate User,skeletrino,Skeletrino
52140322,59,211,31,Legitimate User,RitaMarchetti,Rita Marchetti
53400463,485,802,803,Legitimate User,sereviola,serena paolacci
56336047,231,365,1929,Legitimate User,andrenzo,Andrenzo
57573169,3398,1905,6038,Legitimate User,vinoalvino,Franco Ziliani
58017998,22,237,532,Legitimate User,fabiomari8i,Fabio Mariotti
58436154,36,82,92,Legitimate User,tulo69,stefano valicchia
60340425,14,28,196,Legitimate User,40annibuttati,Emanuele
60490488,1735,900,1364,Legitimate User,andreavogt,Andrea Vogt
63501503,29,95,96,Legitimate User,simmus82,Simone Musoni
65402914,218,569,1070,Legitimate User,MrHolland72,Roger Manche
67253599,294,383,3178,Legitimate User,fdicarlo,Fabrizio Di Carlo
67887304,379,1565,1119,Legitimate User,daffy6561,l'ultimo metrò
68123840,29,32,51,Legitimate User,filippo_taliaco,Filippo Taliaco
68800287,36,201,32,Legitimate User,MarcoFederico,Marco Federico
68940614,32,134,424,Legitimate User,l3ar,Nicola Biagioni
69575984,71,215,71,Legitimate User,francescospiu,Francesco Ronzano
70228722,70,130,399,Legitimate User,_JustPat_,Patrizia.
74861616,127,373,316,Legitimate User,LucaPiras,Gianluca Piras
76612795,50,67,250,Legitimate User,zampa76,lorenzo zanotti
78845364,117,138,1116,Legitimate User,Ba_Bars,Barbara Barsanti
82062642,75,171,142,Legitimate User,ziopatrizio,Patrizio Dazzi
82118682,19,39,88,Legitimate User,davidegazze,davide gazzÃ¨
84361482,181,174,6581,Legitimate User,MrSpazzaneve,Marco
84543942,45,65,40,Legitimate User,micmarz,Michele Marzulli
84838434,244,395,7014,Legitimate User,Onizuha,Manuel Salvadori
85850428,5,59,7,Legitimate User,Bilbozza,Maria Grazia
86538176,463,685,3298,Legitimate User,evelynb75,Evelyn Baleani
86626503,346,1375,704,Legitimate User,antoniodavoli,Antonio Davoli
86999643,29,76,175,Legitimate User,tildhe,Giulia Pieraccini
87029466,2,11,4,Legitimate User,neropixel,Enrico Bonfanti
90436636,633,1189,13260,Legitimate User,Red_Sunflowers,Cristina 
91696007,269,622,1378,Legitimate User,capn3m0,capn3m0
93378883,4229,3388,62908,Legitimate User,nicocarmigna,Nicola Carmignani
96114847,1,7,4,Legitimate User,lucianocollo,Luciano Collo
96146127,61,23,1034,Legitimate User,ClaudioGarau,Claudio Garau
96360063,224,212,4265,Legitimate User,frMarioBianchi,Mario G.P. Bianchi
96450599,572,466,2872,Legitimate User,Alex_Bongiorno,Alessandro
96454595,45,81,531,Legitimate User,Informatmeifo,Federico Scarpa
96727791,19,68,434,Legitimate User,Baso90,Giovanni Raino
96737211,61,189,168,Legitimate User,iacopom88,Iacopo Montagnani
98127075,58,266,521,Legitimate User,0kitr3J,La(B)Nova
103087081,52,137,376,Legitimate User,littlekini,King of Nowhere
105768989,374,165,933,Legitimate User,FrancescoBonchi,Francesco Bonchi
107193314,207,246,3199,Legitimate User,luigi67cella,LuigiCella
107471115,1275,215,3962,Legitimate User,zacchiro,Stefano Zacchiroli
107991930,56,96,125,Legitimate User,stefanoabbate,Stefano Abbate
108051742,34,30,173,Legitimate User,alod83,Angelica Lo Duca
109651861,390,837,6169,Legitimate User,snaddeo,salvatore naddeo
109848907,108,363,834,Legitimate User,Cekkella,Alessandro Calvaresi
110177863,272,664,1632,Legitimate User,pstirparo,Pasquale Stirparo
111054613,88,160,264,Legitimate User,andrea_omicini,Andrea Omicini
112232553,11,42,35,Legitimate User,Alb3632,Davide Albertini
112419862,464,718,2131,Legitimate User,PearLaEli,PerLaEli
112986371,128,389,5157,Legitimate User,24cinque,24cinque
113134931,11,15,8,Legitimate User,maribu2010,Marina Buzzi
113971060,8,37,387,Legitimate User,AlberPao,Paolo Alberghetti
114726248,188,673,1368,Legitimate User,riccardoricchi,Riccardo Ricchi
118241739,21,52,16,Legitimate User,Enrique_Murguia,Jose Enrique Murguia
118667244,196,471,1215,Legitimate User,fedezangrandi,Federico Zangrandi
121045001,240,427,1720,Legitimate User,lucahardrock,Luca Buoso
122111595,1723,429,1363,Legitimate User,Scienzeascuola,Scienze a scuola
125622122,237,394,1083,Legitimate User,rossellarega,rossella rega
125796953,386,306,4440,Legitimate User,drego85,Andrea Draghetti
126065059,97,118,144,Legitimate User,ulivierielena,Elena Ulivieri
126611558,1646,1454,12332,Legitimate User,Marygrace83,Maria G Paparelli
128857854,523,819,4144,Legitimate User,lindavanni,Linda Vanni Lulù
129176007,25,213,134,Legitimate User,uMatriel,Anthony Cooper
129515952,450,1142,7018,Legitimate User,giuliagentili,Giulia Gentili
131197741,3219,957,11821,Legitimate User,kuliscioff,simona bonfante
131202911,55,226,7,Legitimate User,Dobermann_ita,Dobermann Ita
131559802,425,403,11177,Legitimate User,tikician,Alessia
131636321,63,171,730,Legitimate User,guidocosta,guido costantini
132569641,9,59,3,Legitimate User,idefixpi,Sergio Bianchi
136368506,10,39,28,Legitimate User,vincenzotumino,Vincenzo Tumino
139321563,73,126,844,Legitimate User,DrJest,Simone Albano
140527863,601,1583,826,Legitimate User,Lost_RainMan,Samuele Barbieri
142239909,17,77,164,Legitimate User,atatarelli,Alfonso Tatarelli
144226252,165,276,2957,Legitimate User,niccolo_avico,NiccolÃ² Avico
145422178,32,133,407,Legitimate User,FedericoFezScia,Federico Sciartilli
146215776,1499,313,48363,Legitimate User,Infinity_999,Daily Tweetter News
149248959,831,1001,10442,Legitimate User,manumas78,Manuel Massimo
151607467,154,256,351,Legitimate User,Fredrik_Kedduh,Federico Biccheddu
152905850,653,691,7139,Legitimate User,giowile,Sergio Gridelli
154197349,32,82,1148,Legitimate User,arpyapapi,Riccardo Arpaia
154477852,93,263,353,Legitimate User,aledesiderio,Alessandro Desiderio
154547583,488,1095,1433,Legitimate User,maurodelgrosso,Mauro Delgrosso
156039467,298,861,2641,Legitimate User,paolomusano,Paolo Musano
157042531,14271,376,49672,Legitimate User,BonnieLaCozza,Bonnie La Cozza
157604170,150,391,901,Legitimate User,stefcarotenuto,Stefano Carotenuto
160557792,28,53,1436,Legitimate User,kravenor,Simone Baldelli
163075114,992,1190,2402,Legitimate User,Genesio34,Garmnuccc
163479707,406,244,3639,Legitimate User,AleNoto,Alessandro Noto
167823878,285,257,1772,Legitimate User,seotopic,Fabrizio Ventre
171640056,338,700,5969,Legitimate User,TopCarNews,Alan Rodaro
171971541,10,16,4,Legitimate User,aggione,Alessandro Giari
173411197,98,375,390,Legitimate User,SDGNet,SDG
174354016,48,354,58,Legitimate User,DanielLaureati,Daniel Laureati
180573776,70,258,5747,Legitimate User,SimoSound,SimoSound ッ
180912768,20,162,234,Legitimate User,Calimero28,Antonio Greco
182511218,83,769,94,Legitimate User,niccoloramponi,Niccolò Ramponi
183959464,269,289,7605,Legitimate User,Diamandis__,ALE AND THE DIAMONDS
184048837,106,295,3233,Legitimate User,BiagioSdC,BiagioScotto
184777483,55,335,869,Legitimate User,Antoniosolid,Antonio Solida
185178011,10,29,66,Legitimate User,28Kimi,Marta
185771893,29,101,322,Legitimate User,regioexpress,Luca
188047458,496,463,15537,Legitimate User,sasukebobaus,sasuke bobaus
188043254,1139,1645,40614,Legitimate User,jabbaTM,jabbathemarvel
189152524,21,71,176,Legitimate User,DavideGiani,davide giani
192912616,22,32,46,Legitimate User,dinomanca,Dino Manca
195763762,914,953,16173,Legitimate User,LizBennet79,Rossella Berlangieri
196179205,179,4,1513,Legitimate User,profdipietro,Antonino Di Pietro
201724641,25,103,85,Legitimate User,GiovaLot,Giovanni Lotà
202220813,1241,360,2892,Legitimate User,SaraBentivegna,Sara Bentivegna
202326763,20,77,308,Legitimate User,Tony_Anc,Tony
203583202,53,201,801,Legitimate User,teo_muffin,Matteo Biancheri
204444302,112,87,1749,Legitimate User,eneitwelp,Massimo Enei
204808236,244,449,407,Legitimate User,robertafiorucci,Roberta Fiorucci
207138462,8,24,3,Legitimate User,m_ila80,ilaria matteucci
207490418,548,1968,3054,Legitimate User,lucecco21,Diego Ceccobelli
210525855,109,199,5162,Legitimate User,obigno77,4le55@ndr0 0b1n0
211462267,249,389,4654,Legitimate User,carlacorigliano,Carla Corigliano
213981500,139,45,728,Legitimate User,CarlosMacAdden,Carlos Mac Adden
214967682,27,111,244,Legitimate User,daniel_fox88,Luca Mancini
215992174,21,44,17,Legitimate User,CrivAnt,Antonino Crivello
217232725,17,86,27,Legitimate User,LGamberini,Luca Gamberini
220859239,320,228,2336,Legitimate User,gaiasale,gaia alberti
221964205,225,342,658,Legitimate User,Giancarlo_PSK,Giancarlo Buomprisco
222893837,857,1033,575,Legitimate User,hcp34,hcp34 - Golf & Web
223007169,15,80,165,Legitimate User,d0p0,Cyrano Bergamask
225060606,21,51,94,Legitimate User,linus85r,Riccardo Aguzzi
226576785,287,491,1905,Legitimate User,andreapetaro,Andrea Petaro
226923750,60,87,1389,Legitimate User,Riccardo88gt,More Touch Itua
228711740,2158,1370,4037,Legitimate User,antoniobuoso,Antonio Buoso
233533428,208,478,3441,Legitimate User,clamiax,Claudio
233890781,24,67,159,Legitimate User,andre_cola,andrea colagrossi
234430637,63,165,538,Legitimate User,marcoboni61,Marco Boni
237886553,20,97,48,Legitimate User,giusbonf,giusbonf
238505344,230,821,3032,Legitimate User,Nityachaitanya,Mauro Benati
242272799,92,391,1021,Legitimate User,danielevigi,DanieleVigi
248134718,30,132,119,Legitimate User,Nccl_c,Niccolò
252679829,261,360,1235,Legitimate User,Caroppio,Carlo Caroppo
254602977,164,375,619,Legitimate User,T_M_Arch_,Tomas Mancin
255499265,246,510,5774,Legitimate User,FRE5C0,Marco Dicillo
257111136,9,26,8,Legitimate User,mysticjaz,Stefano Cresci
257400824,353,235,2999,Legitimate User,rmagini,ℜiccardo ℳagini
264133279,34,117,80,Legitimate User,Safranf,Francesco Santini
265017059,72,118,1514,Legitimate User,Paraid82,Paride
265731317,49,159,50,Legitimate User,libbuz,liborio rauseo 
267989312,57,254,433,Legitimate User,fabiop953,Fabio Papotti
271374532,13,48,132,Legitimate User,bluestblues1,Bluest Blues
272121120,38,93,740,Legitimate User,cmbonini,Carlo Bonini
272911207,118,135,2536,Legitimate User,PinoSixtyFive,Giuseppe Citarella
275183383,13,65,136,Legitimate User,Jay_1274,Jay
276983152,49,228,302,Legitimate User,mnlapolla,Mariantonietta Noemi
281234838,19,29,33,Legitimate User,bettabianchini,Elisabetta Bianchini
282523842,24,111,336,Legitimate User,LorenzaBarbieri,Lorenza Barbieri
283013230,50,158,218,Legitimate User,simonefrau,Simone
286690782,167,37,498,Legitimate User,ceccorap,ceccorap
286841761,850,862,13798,Legitimate User,viticci3,Giusi 
290147254,25,51,33,Legitimate User,annaroxc,rosanna campanella
290494853,105,258,1575,Legitimate User,Postideologico,Giovanni Maria Sini 
290585680,270,727,2699,Legitimate User,pensierozoppo,Pensiero Zoppo
291949510,1405,2001,9022,Legitimate User,ClaudiaLarix,ClaudiaLarix
297023247,43,62,1123,Legitimate User,LordDiMasK,Massimiliano D.
299618434,19,75,163,Legitimate User,sergiominni,sergio minni
303061039,57,97,277,Legitimate User,cyrclemagalini,Federico Magalini
304268784,15,111,35,Legitimate User,Ale33androC,Alessandro Coletta
312691936,173,322,4463,Legitimate User,luttisluttis,francy verty
317336535,283,508,2855,Legitimate User,pidemath,Marco De Angelis
321282277,23,26,317,Legitimate User,Stark_ita,Lorenzo Rosei
326716112,94,457,1073,Legitimate User,SamueleLilli,Samuele Lilli
328117388,1,42,1,Legitimate User,cassettadipesce,cassetta di pesce
331349150,489,1997,1590,Legitimate User,LeonardoTorio,Leonardo Fernández
338966793,54,200,1201,Legitimate User,diekke,Diego Buoncristiani
342957744,13,74,49,Legitimate User,andrea_giglioli,Andrea Giglioli
343931635,70,151,2327,Legitimate User,MMontagnana,Marco Montagnana
344675728,11,95,38,Legitimate User,joservino,sergio novi
344780239,41,91,482,Legitimate User,eu_cate,Eugenio Caterino
344955391,247,1253,411,Legitimate User,gcuva82,Giovanni Cuva
353254693,18,25,3,Legitimate User,acecche,Andrea Cecchelin
353608206,38,140,377,Legitimate User,Clau_TheDry,Claudia Lo Secco
356979186,2880,724,31925,Legitimate User,morenaragone,morena ragone
359370934,11,26,8,Legitimate User,JackPastello,Raffaele Tasella
365993895,128,229,971,Legitimate User,SteCaneva,Stefano Caneva
370595287,48,187,364,Legitimate User,jrighini,jacopo righini
372786191,669,1362,905,Legitimate User,DrakeBeowulf,Drake Beowulf
374138547,341,733,1170,Legitimate User,lauraeduati,laura eduati
378814988,6,14,6,Legitimate User,lionellomarrell,lionello marrelli
379176983,8,30,20,Legitimate User,danielino1987,danielino
379296310,769,1106,8252,Legitimate User,gattodaniatto,daniatto gatto
379728710,14,84,61,Legitimate User,Talitrus70,Francesco Frittelli
381384396,13,21,104,Legitimate User,leodali83,Leonardo D'Alimonte
383145557,174,464,1010,Legitimate User,Enrico_Greco,Enrico Greco
384547005,13,141,265,Legitimate User,mancioman7,Andrea Mancini
